,age,class_of_worker,education,marital_stat,major_occupation_code,race,sex,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,detailed_household_summary_in_household,num_persons_worked_for_employer,country_of_birth_self,citizenship,own_business_or_self_employed,weeks_worked_in_year,target
3355,47, Local government, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, 50000+.
3356,11, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3357,42, Private, Some college but no degree, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,2,48, - 50000.
3358,31, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3359,9, Not in universe, Children, Never married, Not in universe, Other, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3360,31, Local government, High school graduate, Married-civilian spouse present, Protective services, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,2,52, 50000+.
3361,81, Not in universe, Some college but no degree, Widowed, Not in universe, White, Female,2000, Single, Not in universe, Householder,0, Germany, Foreign born- U S citizen by naturalization,0,0, - 50000.
3362,53, Private, Some college but no degree, Married-civilian spouse present, Executive admin and managerial, White, Male,0, Joint both under 65, Not in universe, Householder,1, ?, Foreign born- U S citizen by naturalization,0,50, - 50000.
3363,5, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3364,35, Self-employed-not incorporated, 11th grade, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3365,4, Not in universe, Children, Never married, Not in universe, Asian or Pacific Islander, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3366,40, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Male,0, Joint both under 65, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, 50000+.
3367,27, Private, High school graduate, Separated, Handlers equip cleaners etc , White, Female,0, Head of household, West, Householder,1, Japan, Native- Born abroad of American Parent(s),0,30, - 50000.
3368,51, Private, Some college but no degree, Married-civilian spouse present, Executive admin and managerial, White, Female,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3369,0, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3370,58, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Householder,0, Iran, Foreign born- Not a citizen of U S ,0,0, - 50000.
3371,58, Federal government, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3372,11, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3373,13, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3374,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3375,46, Self-employed-incorporated, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Professional specialty, White, Male,1000, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, 50000+.
3376,8, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3377,77, Not in universe, Some college but no degree, Widowed, Not in universe, White, Male,200, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3378,16, Not in universe, 10th grade, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3379,40, Local government, Associates degree-occup /vocational, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,5, Mexico, Foreign born- U S citizen by naturalization,0,52, - 50000.
3380,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3381,34, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,0,25, - 50000.
3382,13, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3383,18, Not in universe, 11th grade, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
3384,48, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Male,200, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, 50000+.
3385,0, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3386,63, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Householder,0, Mexico, Foreign born- U S citizen by naturalization,0,0, - 50000.
3387,4, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3388,13, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3389,25, Private, 11th grade, Never married, Farming forestry and fishing, Black, Male,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,30, - 50000.
3390,33, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, Black, Female,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3391,17, Not in universe, 11th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3392,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Nonrelative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3393,16, Not in universe, 10th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3394,20, Private, High school graduate, Never married, Other service, White, Male,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,26, - 50000.
3395,14, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Nonrelative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3396,47, Private, 11th grade, Married-civilian spouse present, Professional specialty, Black, Female,0, Joint both under 65, Not in universe, Spouse of householder,4, United-States, Native- Born in the United States,0,28, - 50000.
3397,0, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3398,39, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3399,18, Private, Some college but no degree, Never married, Sales, White, Female,0, Single, Not in universe, Child 18 or older,4, United-States, Native- Born in the United States,0,48, - 50000.
3400,34, Self-employed-not incorporated, High school graduate, Divorced, Farming forestry and fishing, White, Male,0, Single, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3401,37, Private, Associates degree-academic program, Married-civilian spouse present, Executive admin and managerial, White, Female,4000, Joint both under 65, Midwest, Spouse of householder,4, United-States, Native- Born in the United States,1,52, - 50000.
3402,27, Not in universe, High school graduate, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
3403,46, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Female,1000, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3404,28, Private, High school graduate, Married-civilian spouse present, Private household services, White, Female,0, Joint both under 65, Not in universe, Other relative of householder,1, Mexico, Foreign born- Not a citizen of U S ,0,52, - 50000.
3405,3, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, West, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3406,11, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3407,11, Not in universe, Children, Never married, Not in universe, Other, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, Germany, Native- Born abroad of American Parent(s),0,0, - 50000.
3408,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3409,65, Federal government, High school graduate, Divorced, Adm support including clerical, White, Female,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3410,17, Not in universe, 11th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3411,12, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3412,64, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Male,2400, Joint both under 65, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3413,49, State government, Masters degree(MA MS MEng MEd MSW MBA), Divorced, Professional specialty, White, Male,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,2,52, - 50000.
3414,64, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint one under 65 & one 65+, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
3415,53, Self-employed-incorporated, Some college but no degree, Married-civilian spouse present, Executive admin and managerial, White, Male,0, Joint both under 65, Not in universe, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
3416,20, Local government, High school graduate, Never married, Adm support including clerical, White, Male,0, Single, Not in universe, Child 18 or older,4, United-States, Native- Born in the United States,0,52, - 50000.
3417,39, Private, Associates degree-occup /vocational, Married-civilian spouse present, Executive admin and managerial, White, Male,0, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, 50000+.
3418,55, Private, High school graduate, Married-civilian spouse present, Other service, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3419,9, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3420,26, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, South, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3421,71, Not in universe, High school graduate, Widowed, Not in universe, White, Male,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3422,7, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3423,31, Private, High school graduate, Married-civilian spouse present, Handlers equip cleaners etc , White, Female,0, Joint both under 65, Not in universe, Spouse of householder,4, Columbia, Foreign born- Not a citizen of U S ,2,52, - 50000.
3424,9, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3425,6, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3426,37, Not in universe, Some college but no degree, Divorced, Not in universe, Black, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3427,8, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3428,8, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3429,25, Local government, Some college but no degree, Married-civilian spouse present, Farming forestry and fishing, White, Male,0, Joint both under 65, West, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
3430,40, Federal government, Some college but no degree, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3431,21, Private, Some college but no degree, Never married, Professional specialty, White, Female,0, Single, Not in universe, Householder,4, United-States, Native- Born in the United States,2,52, - 50000.
3432,41, Local government, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Male,0, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
3433,24, Private, Some college but no degree, Married-civilian spouse present, Adm support including clerical, Black, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,2,45, - 50000.
3434,47, Private, High school graduate, Never married, Other service, White, Female,0, Single, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
3435,37, Private, Bachelors degree(BA AB BS), Never married, Executive admin and managerial, White, Male,0, Single, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
3436,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3437,66, Not in universe, Some college but no degree, Widowed, Not in universe, White, Female,2760, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3438,50, State government, High school graduate, Widowed, Technicians and related support, Black, Female,0, Head of household, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
3439,0, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Nonrelative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3440,12, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3441,5, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3442,15, Private, 9th grade, Never married, Other service, White, Male,0, Nonfiler, Northeast, Child under 18 never married,1, United-States, Native- Born in the United States,0,6, - 50000.
3443,17, Not in universe, 11th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3444,46, Private, 5th or 6th grade, Married-civilian spouse present, Other service, Other, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, Mexico, Foreign born- Not a citizen of U S ,0,0, - 50000.
3445,33, Private, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Professional specialty, White, Male,35, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,2,52, - 50000.
3446,31, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3447,27, Private, Some college but no degree, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,2,48, - 50000.
3448,33, Not in universe, High school graduate, Divorced, Not in universe, White, Male,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3449,45, Local government, High school graduate, Married-civilian spouse present, Executive admin and managerial, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3450,5, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3451,46, Private, High school graduate, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3452,31, Private, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Professional specialty, White, Male,250, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
3453,70, Not in universe, Less than 1st grade, Married-civilian spouse present, Not in universe, Other, Female,0, Nonfiler, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3454,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3455,11, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3456,34, Private, Some college but no degree, Married-civilian spouse present, Sales, White, Male,2177, Joint both under 65, West, Householder,5, United-States, Native- Born in the United States,2,52, 50000+.
3457,27, Private, High school graduate, Never married, Executive admin and managerial, Black, Female,0, Single, Northeast, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3458,66, Not in universe, Some college but no degree, Married-civilian spouse present, Not in universe, White, Female,4000, Joint both 65+, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3459,38, Private, Some college but no degree, Married-civilian spouse present, Precision production craft & repair, White, Male,250, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, 50000+.
3460,10, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3461,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Midwest, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3462,56, Private, Associates degree-academic program, Married-civilian spouse present, Technicians and related support, Black, Female,0, Joint one under 65 & one 65+, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3463,66, Not in universe, High school graduate, Widowed, Not in universe, White, Female,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3464,47, Private, 11th grade, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,4, United-States, Native- Born in the United States,0,50, - 50000.
3465,27, Private, 7th and 8th grade, Married-civilian spouse present, Handlers equip cleaners etc , White, Male,0, Joint both under 65, Not in universe, Other relative of householder,2, Mexico, Foreign born- Not a citizen of U S ,0,52, - 50000.
3466,39, Private, 5th or 6th grade, Never married, Machine operators assmblrs & inspctrs, White, Female,0, Single, Not in universe, Other relative of householder,3, Nicaragua, Foreign born- Not a citizen of U S ,0,52, - 50000.
3467,44, Private, High school graduate, Never married, Other service, Black, Female,0, Head of household, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
3468,73, Private, Masters degree(MA MS MEng MEd MSW MBA), Widowed, Professional specialty, Black, Male,0, Single, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3469,27, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Nonfiler, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3470,66, Not in universe, 7th and 8th grade, Widowed, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, Mexico, Foreign born- U S citizen by naturalization,0,0, - 50000.
3471,38, Local government, Associates degree-academic program, Married-civilian spouse present, Protective services, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,2,52, 50000+.
3472,63, Federal government, Bachelors degree(BA AB BS), Never married, Transportation and material moving, White, Male,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,48, 50000+.
3473,61, Self-employed-not incorporated, Doctorate degree(PhD EdD), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
3474,87, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Female,0, Nonfiler, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3475,13, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3476,16, Private, 10th grade, Never married, Sales, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,1, United-States, Native- Born in the United States,0,13, - 50000.
3477,15, Not in universe, 7th and 8th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3478,33, Private, Some college but no degree, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,1,52, - 50000.
3479,13, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3480,86, Not in universe, 10th grade, Widowed, Not in universe, White, Female,0, Nonfiler, South, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3481,58, Private, Some college but no degree, Married-civilian spouse present, Adm support including clerical, White, Female,650, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3482,72, Not in universe, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Not in universe, White, Male,9800, Joint one under 65 & one 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, 50000+.
3483,45, Private, 7th and 8th grade, Divorced, Precision production craft & repair, White, Male,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3484,47, Private, High school graduate, Married-civilian spouse present, Sales, Asian or Pacific Islander, Female,0, Joint both under 65, Not in universe, Spouse of householder,2, China, Foreign born- U S citizen by naturalization,0,52, - 50000.
3485,23, Private, Bachelors degree(BA AB BS), Never married, Executive admin and managerial, White, Female,93, Single, Not in universe, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
3486,54, Local government, High school graduate, Married-civilian spouse present, Executive admin and managerial, White, Female,500, Joint both under 65, Not in universe, Spouse of householder,5, United-States, Native- Born in the United States,0,52, - 50000.
3487,66, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Male,0, Joint both 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3488,25, Private, High school graduate, Married-civilian spouse present, Transportation and material moving, White, Male,0, Joint both under 65, Midwest, Householder,6, ?, Foreign born- Not a citizen of U S ,0,52, - 50000.
3489,4, Not in universe, Children, Never married, Not in universe, Black, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3490,34, Local government, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3491,10, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3492,29, Private, Bachelors degree(BA AB BS), Never married, Sales, White, Male,4, Single, Not in universe, Child 18 or older,6, United-States, Native- Born in the United States,0,52, - 50000.
3493,71, Private, Some college but no degree, Widowed, Professional specialty, White, Female,0, Single, West, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3494,56, Federal government, Associates degree-occup /vocational, Widowed, Adm support including clerical, Black, Female,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3495,25, State government, Bachelors degree(BA AB BS), Married-civilian spouse present, Professional specialty, Asian or Pacific Islander, Female,0, Nonfiler, Not in universe, Nonrelative of householder,0, China, Foreign born- Not a citizen of U S ,0,0, - 50000.
3496,58, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,5, Poland, Foreign born- U S citizen by naturalization,0,52, 50000+.
3497,43, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
3498,29, Local government, Some college but no degree, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,3, United-States, Native- Born in the United States,0,30, - 50000.
3499,53, Not in universe, 10th grade, Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3500,22, Not in universe, High school graduate, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
3501,31, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
3502,22, Not in universe, 9th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3503,5, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Nonrelative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3504,75, Not in universe, High school graduate, Widowed, Not in universe, White, Female,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3505,31, Private, High school graduate, Married-civilian spouse present, Other service, Other, Male,0, Joint both under 65, Not in universe, Spouse of householder,3, Mexico, Foreign born- Not a citizen of U S ,0,51, - 50000.
3506,14, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
3507,3, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3508,64, Local government, 10th grade, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,5, ?, Foreign born- Not a citizen of U S ,0,52, - 50000.
3509,36, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Adm support including clerical, Black, Male,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
3510,69, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Male,0, Joint one under 65 & one 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
3511,71, Not in universe, 9th grade, Divorced, Not in universe, White, Male,750, Single, Not in universe, Householder,0, Poland, Foreign born- U S citizen by naturalization,0,0, - 50000.
3512,47, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Male,0, Joint both under 65, Not in universe, Child 18 or older,4, United-States, Native- Born in the United States,2,52, - 50000.
3513,50, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Male,0, Joint both under 65, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, 50000+.
3514,40, Private, 11th grade, Never married, Handlers equip cleaners etc , White, Female,0, Head of household, West, Householder,6, El-Salvador, Foreign born- Not a citizen of U S ,0,34, - 50000.
3515,48, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Midwest, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
